Arrondissement,Catégorie ,Sous-Catégorie,Nom,Description,Adresse ,Numéro de téléphone,Courriel,Site Internet
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,CONSEIL RÉGIONAL PACA,,27 Place Jules Guesde 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,ETABLISSEMENT PUBLIC FONCIER PACA,,62 La Canebière 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,SOLEAM,,49 La Canebière 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,VILLE DE MARSEILLE : DIRECTION DE LA PROSPECTIVE,,2 Place François Mireur 13001 Marseille,,,
13001,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,CHAMBRE DE COMMERCE ET D'INDUSTRIE,,Palais de la Bourse 9 La Canebière 13001 Marseille,,,
13001,INDÉPENDANTS,ARTISTES,MARACUYA,,13 rue des Dominicaines 13001 Marseille,,,
13002,ALIMENTATION,AMAP,LA RUCHE QUI DIT OUI,,48 quai du Lazaret 13002 Marseille,,,
13002,ALIMENTATION,AMAP,PAMA PANIER DE L'AUBERG'IN,,31Rue Caisserie 13002 Marseille,,,
13002,ALIMENTATION,CAVE A VINS NATURELS,LES BUVARDS,,34 Grand Rue 13002 Marseille,,,
13002,ALIMENTATION,MARCHÉS PAYSANS,LE MARCHE DU CATTE MERY,,Place du 23 Janvier 1943 13002 Marseille,,,
13002,ALIMENTATION,RESTAURATION,ARROSOIR,,57 Boulevard des Dames 13002 Marseille,,,
13002,ALIMENTATION,RESTAURATION,COMPTOIR NATUREL,,54 Rue Mazenod 13002 Marseille,,,
13002,ALIMENTATION,RESTAURATION,LE CLAN DES CIGALES,,8 Rue du Petit Puits 13002 Marseille,,,
13002,ALIMENTATION,RESTAURATION,MAISON GIULIA,,5 Rue Four du Chapitre 13002 Marseille,,,
13002,ALIMENTATION,SUPERMARCHE COLLABORATIF,SUPERCAFOUTCH,,14Rue Louis Astouin 13002 Marseile,,,
13002,ECOLOGIE ET NATURE EN VILLE,JARDINS,JARDIN DU CHEVALIER PAUL,,32-36 rue Chevalier Paul 13002 Marseille,,,
13002,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,LA COMPAGNIE DS RËVESURBAINS,,1 rue Félix Eboue 13002 Marseille,,,
13002,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,MARSEILLE AUTREMENT,,2 rue Fauchier 13002 Marseille,,,
13002,ECOLOGIE ET NATURE EN VILLE,VÉGÉTALISATION,JARDINONS AU PANIER,,Place de Lanche 13002 Marseille,,,
13002,ECOLOGIE ET NATURE EN VILLE,VÉGÉTALISATION,LES JARDINIERS DU PANIER,,Place du Refuge 13002 Marseille,,,
13002,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,CONSEIL DE TERRITOIRE MARSEILLE PROVENCE SERVICES ADMINISTRATIFS,,2 Quai d'Arenc 13002 Marseille,,,
13002,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,DIRECTION GENERALE  ADJOINTE DEU DEVELOPPEMENT URBAIN,,Les Docks 10 Place de la Joliette 13002 Marseille,,,
13002,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,DIRECTION DE L'URBANISMES ET DE L'HABITAT,,76 Rue Républisque 13002 Marseille,,,
13002,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,DIRECTION DES RESSOURCES PARTAGEES,,40 rue Fauchier 13002 Marseille,,,
13002,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT,,36 Boulevard des Dames 13002 Marseille,,,
13002,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,EPA EUROMEDITERRANEE,,79 Boulevard de Dunkerque 13002 Marseille,,,
13003,ALIMENTATION,MARCHE PAYSANS,LE MARCHE PAYSAN DE LA FRICHE,,41 Rue Jobin 13003 Marseille ,,,
13003,ALIMENTATION,RESTAURATION ,LA CANTINE DU MIDI,,36 Rue Bernard 13003 Marseille,,,
13003,ALIMENTATION,RESTAURATION ,LES GRANDES TABLES,,41 Rue Jobin 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,COLLECTIF ETC,,3 Rue Raymondino 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,LES PAS PERDUS,,10 Rue Sainte-Victorine 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,LES TETES DE L'ART,,29 Rue Toussaint 13003 Marseille ,,,
13003,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,OLIVIER NATTES,,69 Rue Jean Cristofol 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,ROBIN DES VILLES,,52 Rue Levat 13003 Marseille ,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,ARPSYDEMIO,,150 Rue de Crimée 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LES JARDINS DE GIBRALTAR,,22 Traverse de Gibraltar 13003 Marseille ,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LE JARDIN PARTAGE DE LA MAIRIE DU 2E ET 3E ARRONDISSEMENT,,58 rue Cavaignac 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LE JARDIN DES MINOTS,,38 traverse Notre Dame de Bon Secours 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LES JARDINS DES RAILS,,41 Rue Jobin 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LE JARDIN DU CENTRE SOCIAL SAINT MAURONT,,46 rue Félix Pyat 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LE JARDIN SPINELLY,,19 Rue Spinelly 13003 Marseille ,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LES AMIS DU JARDIN LEVAT,,52 Rue Levat 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LES JARDINS DU RUFFI,,14 Rue de Ruffi 13003 Marseille ,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LES JARDINS PARTAGES DES DOCKS LIBRES,,Rue René Cassin 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,LE PASSAGE JARDINIER,,46 Rue Félix Pyat 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,JUXTAPOSE,,52 Rue Levat 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,MOT A MOT,,36 Rue Bernard 13003 Marseille,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,NOMADES CELESTES,,161 Boulevard National 13003 Marseille ,,,
13003,ECOLOGIE ET NATURE EN VILLE,JARDINS,OSIRIS,,,,,
13003,PROJETS EN AGRICULTURE URBAINE,PORTEURS DE PROJETS,CAPTE,,41 Rue Jobin 13003 Marseille,,,
13003,PROJETS EN AGRICULTURE URBAINE,PORTEURS DE PROJETS,LES ALCHIMISTES,,41 Rue Jobin 13003 Marseille,,,
13003,PROJETS EN AGRICULTURE URBAINE,FACILITATEUR DE PROJETS ,INTER-MADE,,41 Rue Jobin 13003 Marseille,,,
13003,PRESSE ET COMMUNICATION,PRESSE,RADIO GALERE,,41 Rue Jobin 13003 Marseille,,,
13003,PRESSE ET COMMUNICATION,PRESSE,RADIO GRENOUILLE,,41 Rue Jobin 13003 Marseille,,,
13003,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS ,DRAAF PACA,,132 Boulevard de Paris 13003 Marseille,,,
13004,ALIMENTATION,ACTEURS DE LA LOGIQTIQUE EN CIRCUIT COURTS,2L LEGER & LOCAL,,16 Avenue des Chartreux 13004 Marseille,,,
13004,ALIMENTATION,AMAP,PAMA PANIER D'ELEMIR,,5 Rue Antoine Pons 13004 Marseille,,,
13004,ALIMENTATION,BOULANGERIE BIO ET ARTISANALE,BOU'SOL,,58-60 Avenue Foch 13004 Marseille,,,
13004,ALIMENTATION,BOUANGERIE BIO ET ARTISANALE,PAIN ET PARTAGE,,5 rue Antoine Pons 13004 Marseille,,,
13004,ALIMENTATION,CAVE A VIN NATUREL,LA COMPAGNIE DES VIGNES,,76 Avebue des Chartreux 13004 Marseille,,,
13004,ALIMENTATION,EPICERIE LOCALE ET BIO,DOÔME N BIO,,60 Avenue de Saint-Just 13004 Marseille,,,
13004,ALIMENTATION,EPICERIE LOCALE ET BIO,STRENGTH BLISS,,23 rue Edmond Dantès 13004 Marseille ,,,
13004,ALIMENTATION,EPICERIE LOCALE ET BIO,STRENGTH BLISS,,18 bis rue Marx-Dormoy 13004 Marseille,,,
13004,ALIMENTATION,LABORATOIRE DE TRANSFORMATION,L'AMANDERIE,,6rue Granon 13004 Marseille,,,
13004,ALIMENTATION,MARCHES PAYSANS,LE MARCHE DE L'ESPLANAGE DE SAINT JUST,,52 Avenue de Saint Just 13004 Marseille,,,
13004,ALIMENTATION,RESTAURATION,DOLCE VITA BIO,,154 boulevard de la Libération 13004 Marseille,,,
13004,ALIMENTATION,RESTAURATION,GREENDELISS,,11Avenue Maréchal Foch 13004 Marseille,,,
13004,ALIMENTATION,RESTAURATION,SOJI,,44 Boulevard Philippon 13004 Marseille,,,
13004,ECOLOGIE ET NATURE EN VILLE,JARDINS,JARDIN COLLECTIF ET PARTICIPATIF LONGCHAMP,,Parc Longchamp 13004 Marseille,,,
13004,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,AREMACS,,63 rue des 3 frères Carasso 13004 Marseille,,,
13004,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,ECO-SAPIENS,,38 impasse Croix de Régnier 13004 Marseille,,,
13004,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,LA CAVERNE VERTE,,126 Avenue des Chartreux 13004 Marseille,,,
13004,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,SOS LOGCHAMP,,boulevard Jardin Zoologique13004 Marseille,,,
13004,PROJETS EN AGRICULTURE URBAINE,PORTEURS DE PROJETS,CULTURES PERMANENTES,,86 Rue Monte Cristo 13004 Marseille,,,
13004,PROJETS EN AGRICULTURE URBAINE,PORTEURS DE PROJETS,RUBE BRASSERIE,,10 rue Benedit 13004 Marseille,,,
13004,ACTEURS PUBLICS ET AFFILIES,ACEURS PUBLICS,CONSEIL DEPARTEMENTAL 13,,52 Avenue de Saint-Just 13004 Marseille,,,
13004,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,DIRECTION DE L'AGRICULTURE ET DES TERRITOIRES,,53 Avenue de Saint-Just 13004 Marseille,,,
13004,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,"DIRECTION DE L'ENVIRONNEMENT, DES GRANDS PRJOETS ET DE LA RECHERCHE",,54 Avenue de Saint-Just 13004 Marseille,,,
13004,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,DIRECTIN DU TERRITOIRE ET DE L'ACTION SOCIALE,,55 Avenue de Saint-Just 13004 Marseille,,,
13004,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,DIRECTION DE LA VIE LOCALE,,56 Avenue de Saint-Just 13004 Marseille,,,
13004,ACTEURS PUBLICS ET AFFILIES,BAILLEURS SOCIAUX,13 HABITAT,,80 rue Albe 13004 Marseille,,,
13005,ALIMENTATION ,ACTEURS DE LA LOGISTIQUE EN CIRCUITS COURTS,FILIERE PAYSANNE,,51 Boulevard Chave 13005 Marseille ,,,
13005,ALIMENTATION ,AMAP,PAMA PANIER LE CABAS VERT,,17 Place Pierre Roux 13005 Marseille,,,
13005,ALIMENTATION ,BOULANGERIE ARTISANALE,LES MAINS LIBRES,,117 Boulevard Chave 13005 Marseille ,,,
13005,ALIMENTATION ,CAVE A VIN NATUREL,LA CAVE DE BAILLE,,133 Boulevard Baille 13005 Marseille,,,
13005,ALIMENTATION ,EPICERIE LOCALE ET BIO,EPICERIE PAYSANNE ADELE,,51 Boulevard Chave 13005 Marseille,,,
13005,ALIMENTATION ,EPICERIE SOLIDAIRE,BOUTIQUE SOCIALE,,36 Rue Roger Brun 13005 Marseille,,,
13005,ALIMENTATION ,MARCHES PAYSANS,LE MARCHE PAYSAN DE SAINT PIERRE,,Place Pol Lapeyre 13005 Marseille,,,
13005,ALIMENTATION ,RESTAURATION,LA MEUTE,,43 Boulevard Chave 13005 Marseille,,,
13005,ECOLOGIE ET NATURE EN VILLE,JARDINS,LE JARDIN EXPERIMENTAL SAVOURNIN,,41 Rue Saint-Savournin 13005 Marseille,,,
13005,ECOLOGIE ET NATURE EN VILLE,JARDINS,LE JARDIN DES 2 MAINS,,18 Rue d'Orléans 13005 Marseille,,,
13005,ECOLOGIE ET NATURE EN VILLE,JARDINS,THOMAS ARTICULTEUR,,9 Rue Jaubert 13005 Marseille,,,
13005,PROJETS EN AGRICULTURE URBAINE,PORTEURS DE PROJET,LA CAVE A CHAMPIGNON,,32 Rue de l'Olivier 13005 Marseille,,,
13005,PROJETS EN AGRICULTURE URBAINE,PORTEURS DE PROJET,JARDILINKS,,112 rue Jaubert 13005 Marseille,,,
13006,ALIMENTATION,AMAP,LA RUCHE QUI DIT OUI,,19 boulevard Louis Salvador 13006,,,
13006,ALIMENTATION,AMAP,PAMA PANIER LA PLAINE DU MONT,,59 Cours Julien 13006 Marseille,,,
13006,ALIMENTATION,AMAP,PAMA PANIER DE VAUBAN,,rue du Bois Sacré 13006 Marseille,,,
13006,ALIMENTATION,BOULANGERIE,MAISON SAINT-HONORE MARSEILLE,,41 avenue du Prado 13006 Marseille,,,
13006,ALIMENTATION,BRASSERIE URBAINE ET ARTISANALE,LA BRASSERIE DE LA PLAINE,,16 rue Saint-Pierre 13006 Marseille,,,
13006,ALIMENTATION,BRASSERIE URBAINE ET ARTISANALE,ZOUMAI,,7 Cours Gouffé 13006 Marseille,,,
13006,ALIMENTATION,CAVE A VIN NATURELS,PLUS BELLE LA VIGNE,,36 Cours Julien 13006 Marseille,,,
13006,ALIMENTATION,EPICERIE LOCALE ET BIO,CHEZ FRANCETTE,,17 rue Pointe à Pitre 13006 Marseille,,,
13006,ALIMENTATION,EPICERIE LOCALE ET BIO,LA BONNE EPICERIE ,,103 boulevard Notre-Dame 13006 Marseille,,,
13006,ALIMENTATION,EPICERIE LOCALE ET BIO,L'ADRESSE BIO,,10 rue de Fontanges 13006 Marseille,,,
13006,ALIMENTATION,EPICERIE LOCALE ET BIO,LA POZ BIO,,13 avenue du Prado 13006 Marseille,,,
13006,ALIMENTATION,EPICERIE LOCALE ET BIO,LES TOQUES DU BOCAL,,17 rue Docteur Escat 13006 Marseille,,,
13006,ALIMENTATION,LABORATOIRE DE TRANSFORMATION,COMPAGNIE DES BOCAUX,,27 rue Navarin 13006 Marseille,,,
13006,ALIMENTATION,LABORATOIRE DE TRANSFORMATION,EMKI POP,,80 boulevard Vauban 13006 Marseille,,,
13006,ALIMENTATION,MAGASIN BIO,AROM'OD'OR,,20 rue Bussy l'Indien 13006 Marseille,,,
13006,ALIMENTATION,MARCHE PAYSANS,LE MARCHE PAYSAN DU COURS JULIEN,,Cours Julien 13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,BIEN ÊTRE ET PETIT PLAT,,15 rue Louis Maurel 13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,CHEZ MARLYSE,,52 rue d'Italie 13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,GREEN BEAR COFFEE,,22 boulevard Paul Peytral 13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,LA PATTE D'OURS,,4 Place Paul Cézanne 13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,MIKALA,,102 Cours Julien 13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,LES GRANDES GUEULES,,21 rue du Docteur Escat 13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,LIVING'ARTS,,50 Cours Julien 13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,LONDONNEWYORK,,77 rue de Lodi13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,SUNDAY MORNING,,20 rue des 3 frères Barthélémy 13006 Marseille,,,
13006,ALIMENTATION,RESTAURATION,CHEZ GASTON,,18 rue Saint Pierre 13006 Marseille,,,
13006,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,AFIR EN VILLE,,11 rue Montgrand 13006 Marseille,,,
13006,ECOLOGIE ET NATURE EN VILLE,ESPACE ET PAYSAGE,LES RUDOLOGISTES ASSOCIES,,60 rue Nau 13006 Marseille,,,
13006,ECOLOGIE ET NATURE EN VILLE,JARDINS,JARDIN PARTAGE DES ANGES VAUBANAIS,,21 rue Point à Pitre 13006 Marseille,,,
13006,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,CITOYEN DE LA TERRE,,14 rue Berlioz 13006 Marseille,,,
13006,ECOLOGIE ET NATURE EN VILLE,SENSIBILISATION,CECILE BOUILLOT,,13006 Marseille,,,
13006,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,ALEC-AGENCE LOCALE DE L'ENERGIE ET DU CLIMAT,,38 rue Breteuil 13006 Marseille,,,
13006,ACTEURS PUBLICS ET AFFILIES,ACTEURS PUBLICS,CHAMBRE REGIONALE DE L'ECONOMIE SOCIALE ET SOLIDAIRE PACA,,2 place Félix Baret 13006 Marseille,,,
13007,ALIMENTATION,AMAP,PAMA PANIER D'ENDOUME 1,,12 Rue des Lices 13007 Marseille,,,
13007,ALIMENTATION,AMAP,PAMA PANIER D'ENDOUME 2,,211 Rue d'Endoume 13007 Marseille,,,
13007,ALIMENTATION,AMAP,PAMA PANIER DE SAMATAN,,49 Rue du Plateau 13007 Marseille,,,
13007,ALIMENTATION,BOULANGERIE ARTISANALE,DAME FARINE,,77 Avenue de la Corse 13007 Marseille,,,
13007,ALIMENTATION,BOULANGERIE ARTISANALE,MAISON SAINT HONORE MARSEILLE,,131 Rue d'Endoume 13007 Marseille,,,
13007,ALIMENTATION,CAVE A VIN NATURELS,LE COEUR DES VIGNES,,57 Rue d'Endoume 13007 Marseille,,,
13007,ALIMENTATION,EPICERIE LOCALE ET BIO,AU GRAIN PRES,,3 Avenue Pasteur 13007 Marseille,,,
13007,ALIMENTATION,EPICERIE LOCALE ET BIO,EPICERIE BIO ET FINE,,27 Rue Joël Recher 13007 Marseille,,,
13007,ALIMENTATION,EPICERIE LOCALE ET BIO,LES PISSENLITS,,147 Rue Sainte 13007 Marseille,,,
13007,ALIMENTATION,EPICERIE SOLIDAIRE,CENTRE SOCIAL ENDOUME,,285 Rue d'Endoume 13007 Marseille,,,
13007,ALIMENTATION,RESTAURATION ,LA FABRIQUE,,71 Avenue de la Corse 13007 Marseille,,,
13007,ALIMENTATION,LABORATOIRE DE TRANSFORMATION,LA PEPITE,,145 Rue Sainte 13007 Marseille,,,
13007,ECOLOGIE ET NATURE EN VILLE,COMPOST,SITE DE COMPOSTAGE DU BANCAU DE SILVETTE,,Chemin du pont anse de la Fausse Monnaie 13007 Marseille,,,
13007,ECOLOGIE ET NATURE EN VILLE,JARDINS,LE BANCAU DE SILVETTE,,Chemin du pont anse de la Fausse Monnaie 13007 Marseille,,,
13007,ECOLOGIE ET NATURE EN VILLE,JARDINS,JARDIN PARTAGE DE SAINT VICTOR,,47 Rue Neuve-Sainte-Catherine 13007 Marseille,,,
13007,PROJETS AGRICULTURE URBAINE,PORTEURS DE PROJET,YES WE CAMP,,5 Avenue Antoine Perrin 13007 Marseille,,,
13007,PRESSE ET COMMUNICATION,PRESSE,BLEU TOMATE,,10 Impasse Marignan 13007 Marseille,,,
13007,INDEPENDANT,ENSEIGNANT CHERCHEUR,JEAN NOEL CONSALES,,58 bouleverd Charles Livon 13007 Marseille,,,
13008,ALIMENTATION,AMAP,PAMA PANIER BAG'A BIO,,Parc Bagatelle 125 rue Commandant Rolland 13008 Marseille,,,
13008,ALIMENTATION,AMAP,PAMA PANIER DES CALANQUES DU ROY D'ESPAGNE,,16 allée Albeniz 13008 Marseille,,,
13008,ALIMENTATION,AMAP,PAMA PANIER DE CHANOT,,2 allée Ray Grassi 13008 Marseille,,,
13008,ALIMENTATION,AMAP,PAMA PANAIER DU ROUET,,76 rue du Rouet 13008 Marseille,,,
13008,ALIMENTATION,AMAP,PAMA PANIER DE SAINTE ANNE- CITE RADIEUSE ,,rue George Moreau 13008 Marseille,,,
13008,ALIMENTATION,AMAP,PAMA PANIER DE SAINT GINIEZ,,38 rue Raphaël Ponson 13008 Marseille,,,
13008,ALIMENTATION,BOULANGERIE BIO ET ARTISANALE,"PAINS, CAKES ET CIE",,262 rue de Paradis 13008 Marseille,,,
13008,ALIMENTATION,EPICERIE LOCALE ET BIO,BIO VEYRE,,17 rue Musso 13008 Marseille,,,
13008,ALIMENTATION,EPICERIE LOCALE ET BIO,L'EAU DE VIE ,,87 Boulevard Rabatau 13008 Marseille,,,
13008,ECOLOGIE ET NATURE EN VILLE,JARDINS,JARDIN COLLECTIF HORIZON DES COLLINES,,5 rue du Docteur Bertrand 13008 Marseille,,,
